F31,ID
Accounting Manager,1
Angestellte,1
Angestellter im Versicherungsinnendienst,1
Beamter,1
Beamtin ,1
Beratung/Consulting,1
Betriebswirt,1
Business Analyst ,1
Bürokaufmann,1
Chemielaborantin ,1
Coach,1
Controller,1
Diakon,1
Diplomverwaltungswirt,1
Doktorand,1
Drogist/Handelsfachwirt,1
Einzelhandel,1
Engineer,1
Entwicklungsingenieur,1
Erzieherin ,1
Fachinformatiker,1
Filmemacher ,1
Finanz und Rechnungswesen,1
Freizeittourismus und Teambuilding,1
IT Branche,1
IT Entwickler,1
IT Service Manager,1
Industrie Meister ,1
Industriemechatroniker,1
Ingenieur,2
Ingenieur ,1
Jugendreferent ,1
Kauffrau,1
Kaufmann für Büromanagement,1
Kaufmann im Einzelhandel ,1
Kfz gewerbe,1
Lebensmittelchemiker,1
Lehrer,1
Lehrerin,1
Lehrkraft,1
Medizinische Fachangestellte,1
Meister im Glaser & Fensterbauer Handwerk,1
Office Managerin,1
Online business Manager,1
Personalkauffrau,1
Pflegefachkraft,1
Polizeivollzugsbeamter,1
Produktionsplanung,1
Project &Change Management,1
Projektmanager,1
Rechtsanwalt,1
Schüler,1
Software Architekt,1
Softwareentwickler,2
Sozialpädagoge,1
Steuerassistent ,1
Trainingsmanager,1
Vertriebsinnendienst,1
Vertriebsleiter,1
Verwaltungsangestellte,1
Wirtschaftsinformatiker,1
Wissenschaftlicher Mitarbeiter (Uni),1
Zahnmedizinische Fachangestellte ,1
Übersetzer,1
